Common code,Original name,English suggestion,Engl. abbr.,Engl. Aliases,German suggestion,German abbr.,German aliases,Dutch name,Dutch abbr.,Dutch aliases,Description
XYP,"Composite packaging, glass receptacle in steel crate box",Glass receptacle in steel crate box composite packaging,,,Glasgefäß in Stahlkistenbox Verbundverpackung,,,"glazen continer in stalen krat, composietverpakking",,,
XYZ,"Composite packaging, glass receptacle in solid plastic pack",Glass receptacle in solid plastic pack composite packaging,,,Glasgefäß in Verbundverpackung aus festem Plastik,,,"glazen container in hard plastic, composiet-verpakking",,,
X6P,"Composite packaging, glass receptacle",Glass composite packaging,,,Glas-Verbundverpackung,,,glazen container composiet-verpakking,,,
XVO,"Bulk, solid, large particles (“nodules”) ",Large particles solid bulk (“nodules”),,,"Große Partikel, feste Massen (""Knötchen"")",,,bulk stukjes,,,
XZB,"Bag, large ",Large bag,,,Großer Sack,,,grote zak,,,
XOW,"Large bag, pallet sized",Pallet sized large bag,,,Großer Sack in Palettengröße,,,zak ter grootte van een pallet,,,"A non-rigid container made of fabric, paper, plastic, etc, with an opening at the top which can be closed and which is suitable for use on pallets"
XOP,Wholesaler pallet,Wholesaler pallet,,,Großhandelspalette,,,groothandel pallet,,,Pallet provided by the wholesaler.
XDM,"Crate, bulk, wooden",Wooden bulk crate,,,Großkiste aus Holz,,,houten bulk-krat,,,
XDK,"Crate, bulk, cardboard ",Cardboard bulk crate,,,Großkiste aus Pappe,,,kartonnen bulk-krat,,,
XDL,"Crate, bulk, plastic ",Plastic bulk crate,,,Großkiste aus Plastik,,,kunststof bulk-krat,,,
XB4,Belt,Belt,,,Gurt,,,(sjor)band,,,A band use to retain multiple articles together.
XZH,"Intermediate bulk container, rigid plastic, freestanding, pressurised","Rigid plastic intermediate bulk container, freestanding, pressurised",,,"Harter Plastik-Intermediate Bulk Container, freistehend, druckbeaufschlagt",,,vrijstaande hard plastic Intermediate-Bulk-Container onder druk,,,
XZF,"Intermediate bulk container, rigid plastic, freestanding, solids","Rigid plastic intermediate bulk container, freestanding, solids",,,"Harter Plastik-Intermediate Bulk Container, freistehend, Feststoffe",,,vrijstaande hard plastic Intermediate-Bulk-Container voor vaste stoffen,,,
XZJ,"Intermediate bulk container, rigid plastic, with structural equipment, liquids ","Rigid plastic intermediate bulk container, with structural equipment, liquids",,,"Harter Plastik-Intermediate-Bulk-Behälter mit struktureller Ausrüstung, Flüssigkeiten",,,ondersteunde hard plastic Intermediate-Bulk-Container voor vloeistoffen,,,
XZK,"Intermediate bulk container, rigid plastic, freestanding, liquids","Rigid plastic intermediate bulk container, freestanding, liquids",,,"Harter Plastik-Intermediate-Bulk-Behälter, freistehend, Flüssigkeiten",,,vrijstaande hard plastic Intermediate-Bulk-Container voor vloeistoffen,,,
XZG,"Intermediate bulk container, rigid plastic, with structural equipment, pressurised","Rigid plastic intermediate bulk container, with structural equipment, pressurised",,,"Harter Plastik-Intermediate-Bulk-Container, mit struktureller Ausrüstung, druckbeaufschlagt",,,ondersteunde hard plastic Intermediate-Bulk-Container onder druk,,,
XZD,"Intermediate bulk container, rigid plastic, with structural equipment, solids","Rigid plastic intermediate bulk container, with structural equipment, solids",,,"Harter Plastik-Intermediate-Bulk-Container, mit struktureller Ausrüstung, Feststoffe",,,ondersteunde hard plastic Intermediate-Bulk-Container voor vaste stoffen,,,
XQS,"Box, plastic, solid",Solid plastic box,,,Hartplastikbox,,,hard plastic box,,,
XPL,Pail ,Pail ,,,Hobbock,,,emmer met deksel,,,
X7B,"Case, wooden",Wooden case,,,Holzbox,,,houten kist,,,A case made of wood for retaining substances or articles.
X8C,"Bundle, wooden",Wood bundle,,,Holzbündel,,,houtbundel,,,Loose or unpacked pieces of wood tied or wrapped together. 
X2C,"Barrel, wooden",Wooden barrel,,,Holzfass,,,houten vat,,,
X1W,"Drum, wooden",Wooden drum,,,Holzfass (drum),,,houten trommel,,,
XQH,"Barrel, wooden, bung type","Wooden barrel, bung type",,,Holzfass mit Spund,,,Houten vat met spongat,,,
XQJ,"Barrel, wooden, removable head ","Wooden barrel, removable head",,,"Holzfass, abnehmbarer Kopf",,,"houten vat, afneembare deskel",,,
XAD,"Receptacle, wooden ",Wooden receptacle,,,Holzgefäß,,,houten container,,,Containment vessel made of wood for retaining substances or articles.
X8B,"Crate, wooden",Wooden crate,,,Holzkiste,,,houten krat,,,"A receptacle, made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
XEE,"Case, with pallet base, wooden ",Wooden case with pallet base,,,Holzkiste mit Palettenboden,,,houten kist met palletbodem,,,
XDB,"Crate, multiple layer, wooden","Wooden crate, multiple layer",,,"Holzkiste, mehrlagig",,,"houten kist, meerlagig",,,
XHB,"Basket, with handle, wooden",Wooden basket with handle,,,Holzkorb mit Griff,,,houten mand met handvat,,,
X8A,"Pallet, wooden",Wooden pallet,,,Holzpalette,,,houten pallet,,,"A platform or open-ended box, made of wood, on which goods are retained for ease of mechanical handling during transport and storage."
